text,label
外卖食物凉了，味道还难吃,负面
毛巾柔软吸水，质量很好,正面
银行办理业务效率低，工作人员态度差,负面
面包松软香甜，保质期新鲜,正面
网购退货流程复杂，商家故意刁难,负面
跑步机噪音小，减震效果好,正面
KTV音响效果差，歌曲还不全,负面
洗面奶温和不刺激，清洁效果好,正面
旅行社行程安排不合理，还强制购物,负面
袜子质量好，不易起球,正面
电影院座椅不舒服，空调温度太低,负面
微波炉加热速度快，操作简单,正面
花店鲜花不新鲜，没几天就枯萎了,负面
牛仔裤版型好看，面料耐磨,正面
网约车司机绕路，收费还不合理,负面
护手霜滋润保湿，香味淡雅,正面
打印店打印效果差，还收取高价,负面
羽毛球拍轻便，弹性很好,正面
餐厅服务人员态度冷淡，喊半天不回应,负面
酸奶酸甜适中，含有丰富益生菌,正面
快递员不送货上门，还态度蛮横,负面
电脑显示器色彩鲜艳，分辨率高,正面
服装店衣服质量差，洗一次就变形,负面
茶馆环境雅致，茶叶品质好,正面
手机充电器接触不良，容易断电,负面
拖鞋防滑耐磨，穿着舒适,正面
健身房教练推销课程，让人厌烦,负面
巧克力口感丝滑，甜度适中,正面
外卖包装漏汤，商家拒不赔偿,负面
扫地机器人清洁彻底，操作智能,正面
酒店早餐种类少，味道难吃,负面
雨伞结实耐用，防雨效果好,正面
景区厕所脏乱差，还没有卫生纸,负面
手表走时准确，外观精致,正面
餐厅上菜错误，还不及时更正,负面
洗衣粉香味持久，去污效果好,正面
网购商品缺货，商家不提前通知,负面
篮球手感好，弹性适中,正面
理发店推销办卡，不办态度就变差,负面
果汁新鲜榨取，无添加剂,正面
快递配送错误，还不及时处理,负面
笔记本电脑外观轻薄，性能强劲,正面
餐厅菜品分量少，价格还贵,负面
卫生巾吸收性好，不易侧漏,正面
超市收银台排队时间长，开放窗口少,负面
火锅蘸料种类多，味道正宗,正面
手机电池不耐用，一天要充好几次,负面
保温杯保温效果好，颜值高,正面
游乐园门票贵，里面项目还要额外收费,负面
洗面奶泡沫丰富，洗完不紧绷,正面
租房家电老化，坏了还不维修,负面
运动鞋透气性好，不易臭脚,正面
航空公司服务人员态度差，还不耐烦,负面
洗衣液香味清新，去污能力强,正面
餐厅等位时间长，还没有等位福利,负面
充电宝充电速度快，兼容性强,正面
网购商品有质量问题，商家不给退换,负面
咖啡店咖啡口感好，服务周到,正面
电影院影片放映卡顿，声音有问题,负面
书包设计合理，收纳空间多,正面
理发店洗头水温不合适，还不调整,负面
牛奶口感好，营养丰富,正面
快递延迟配送，还不主动告知,负面
手机拍照效果好，像素高清,正面
服装店衣服尺码不准，还不给退换,负面
火锅店服务周到，加汤及时,正面
酒店房间隔音差，晚上很吵,负面
耳机佩戴舒适，不易脱落,正面
超市商品过期，还在正常售卖,负面
电影剧情紧凑，结局反转精彩,正面
旅行社导游讲解不专业，还经常迟到,负面
牙膏味道清新，使用后口气好,正面
游乐园设施老化，存在安全隐患,负面
毛巾质量好，不易掉色,正面
银行ATM机经常故障，取不了钱,负面
面包保质期长，口感依然松软,正面
外卖商家卫生条件差，食材不新鲜,负面
跑步机运行稳定，噪音小,正面
KTV收费高，服务还不好,负面
洗衣液泡沫丰富，易漂洗无残留,正面
打印店出片速度慢，还容易出错,负面
钢笔颜值高，书写流畅不卡顿,正面
花店配送延迟，鲜花送到已枯萎,负面
酸奶口感细腻，味道纯正,正面
网约车车内卫生差，有异味,负面
平板电脑便携性好，续航能力强,正面
餐厅餐具消毒不彻底，有异味,负面
运动鞋款式新颖，穿着舒适,正面
网购商品包装精美，但质量堪忧,负面
护手霜吸收快，不油腻,正面
餐厅上菜速度快，服务热情,正面
手机运行流畅，玩游戏不卡顿,负面
超市商品种类丰富，价格实惠,正面
理发店剪发技术好，效果满意,正面
快递员服务好，送货上门还提醒,正面
牛奶新鲜度高，口感好,正面
火锅店味道好，性价比高,正面
客服服务耐心，解决问题及时,正面
产品质量好，符合预期,正面
物流速度快，包装完好,正面
餐厅环境好，菜品美味,正面
手机性能强，拍照效果好,正面
耳机音质好，佩戴舒适,正面
充电宝容量大，充电快,正面
笔记本电脑运行流畅，颜值高,正面
洗面奶清洁效果好，温和不刺激,正面
运动鞋穿着舒适，质量好,正面
保温杯保温效果好，携带方便,正面
面包松软香甜，好吃不贵,正面
巧克力口感丝滑，味道纯正,正面
果汁新鲜，味道清爽,正面
手表外观精致，走时准确,正面
雨伞结实耐用，防雨效果好,正面
书包容量大，背负舒适,正面
毛巾柔软吸水，质量不错,正面
袜子质量好，不易起球,正面
牛仔裤版型好看，面料舒适,正面
护手霜滋润保湿，香味好闻,正面
洗衣液去污能力强，香味清新,正面
钢笔书写流畅，颜值高,正面
羽毛球拍轻便，弹性好,正面
扫地机器人清洁干净，操作智能,正面
微波炉加热快，使用方便,正面
平板电脑屏幕清晰，续航久,正面
电脑显示器色彩好，分辨率高,正面
篮球手感好，弹性适中,正面
酸奶酸甜可口，营养丰富,正面
卫生巾吸收性好，使用舒适,正面
巧克力味道浓郁，口感细腻,正面
耳机降噪效果好，音质清晰,正面
充电宝轻便，充电速度快,正面
笔记本电脑轻薄便携，性能不错,正面
洗面奶泡沫丰富，清洁力强,正面
运动鞋防滑效果好，穿着舒服,正面
保温杯颜值高，保温效果出色,正面
面包味道好，保质期新鲜,正面
牛奶口感醇厚，营养丰富,正面
火锅店食材新鲜，服务周到,正面
客服响应及时，服务专业,正面
产品性价比高，值得推荐,正面
物流给力，很快就收到了,正面
餐厅服务好，菜品味道棒,正面
手机颜值高，使用体验好,正面
耳机佩戴牢固，音质出色,正面
充电宝质量好，容量足,正面
笔记本电脑散热好，运行稳定,正面
洗面奶温和清洁，不紧绷,正面
运动鞋透气性好，不易臭脚,正面
保温杯携带方便，保温时间长,正面
面包新鲜松软，香味浓郁,正面
巧克力纯度高，口感丝滑,正面
果汁无添加，味道纯正,正面
手表质量好，款式新颖,正面
雨伞轻便，防雨效果好,正面
书包设计合理，收纳方便,正面
毛巾质量上乘，柔软吸水,正面
袜子穿着舒适，不易变形,正面
牛仔裤面料耐磨，版型时尚,正面
护手霜质地细腻，吸收快,正面
洗衣液香味持久，去污强,正面
钢笔质量好，书写流畅,正面
羽毛球拍质量不错，使用顺手,正面
扫地机器人智能高效，清洁彻底,正面
微波炉操作简单，加热均匀,正面
平板电脑性能好，使用流畅,正面
电脑显示器显示清晰，护眼,正面
篮球质量好，手感出色,正面
酸奶新鲜美味，益生菌丰富,正面
卫生巾使用舒适，安全放心,正面
衣服质量差，洗一次就缩水,负面
服务态度恶劣，让人反感,负面
价格太贵，性价比太低,负面
物流速度慢，包装破损,负面
产品有瑕疵，质量堪忧,负面
客服态度差，不解决问题,负面
餐厅味道难吃，环境脏乱,负面
手机信号差，电池不耐用,负面
耳机音质差，容易掉,负面
充电宝充电慢，容量虚标,负面
笔记本电脑卡顿，散热差,负面
洗面奶刺激皮肤，清洁力差,负面
运动鞋磨脚，质量不好,负面
保温杯保温效果差，漏水,负面
面包发硬，不新鲜,负面
巧克力味道发苦，口感差,负面
果汁兑水多，味道淡,负面
手表走时不准，外观粗糙,负面
雨伞质量差，容易坏,负面
书包背带易断，容量小,负面
毛巾粗糙，不吸水,负面
袜子容易破，起球严重,负面
牛仔裤掉色严重，版型差,负面
护手霜油腻，吸收慢,负面
洗衣液去污差，泡沫难漂洗,负面
钢笔漏水，书写卡顿,负面
羽毛球拍易断，弹性差,负面
扫地机器人清洁不彻底，噪音大,负面
微波炉加热不均匀，噪音大,负面
平板电脑卡顿，屏幕模糊,负面
电脑显示器色彩差，易黑屏,负面
篮球弹性差，手感硬,负面
酸奶味道发酸，不新鲜,负面
卫生巾吸收差，容易侧漏,负面
衣服面料差，透气性不好,负面
服务人员态度冷淡，不热情,负面
价格虚高，不值这个价,负面
物流延迟，客服不回应,负面
产品做工粗糙，有异味,负面
客服敷衍了事，问题未解决,负面
餐厅上菜慢，菜品分量少,负面
手机拍照模糊，运行卡顿,负面
耳机隔音差，音质浑浊,负面
充电宝体积大，携带不便,负面
笔记本电脑重量大，便携性差,负面
洗面奶洗完紧绷，刺激皮肤,负面
运动鞋款式老气，质量差,负面
保温杯外观难看，保温时间短,负面
面包保质期短，容易变质,负面
巧克力含有杂质，口感粗糙,负面
果汁有添加剂味道，不新鲜,负面
手表材质差，容易生锈,负面
雨伞伞骨易折，防雨效果差,负面
书包设计不合理，背负累,负面
毛巾掉色严重，不耐用,负面
袜子尺码不准，穿着不舒服,负面
牛仔裤面料硬，穿着不舒服,负面
护手霜香味刺鼻，保湿差,负面
洗衣液香味难闻，残留严重,负面
钢笔颜值低，书写不流畅,负面
羽毛球拍重量不均，使用费力,负面
扫地机器人续航短，需要频繁充电,负面
微波炉按键不灵敏，操作复杂,负面
平板电脑屏幕小，分辨率低,负面
电脑显示器耗电快，发热严重,负面
篮球容易变形，不耐用,负面
酸奶包装简陋，容易漏,负面
卫生巾材质差，不透气,负面
衣服款式难看，不合身,负面
服务效率低，等待时间长,负面
价格不合理，比同类产品贵,负面
物流服务差，快递员态度恶劣,负面
产品功能单一，性价比低,负面
客服回复慢，解决问题不专业,负面
餐厅卫生差，食材不新鲜,负面
手机外观难看，手感差,负面
耳机线易断，音质差,负面
充电宝充电不稳定，易损坏,负面
笔记本电脑外观厚重，不美观,负面
洗面奶泡沫少，清洁力不足,负面
运动鞋防滑效果差，易打滑,负面
保温杯盖子不密封，漏水严重,负面
面包味道平淡，没有香味,负面
巧克力甜度太高，腻人,负面
果汁包装不环保，味道一般,负面
手表功能少，价格贵,负面
雨伞收放不方便，占空间,负面
书包颜色单调，款式老,负面
毛巾厚度不够，吸水差,负面
袜子弹性差，穿着松垮,负面
牛仔裤腰头不合适，容易掉,负面
护手霜保质期短，容易过期,负面
洗衣液用量大，不经济,负面
钢笔墨水消耗快，不耐用,负面
羽毛球拍握柄不舒服，易打滑,负面
扫地机器人导航差，容易卡困,负面
微波炉容量小，加热大件不方便,负面
平板电脑系统老旧，升级不了,负面
电脑显示器刷新频率低，有拖影,负面
篮球表面易磨损，手感变差,负面
酸奶甜度不均，味道奇怪,负面
卫生巾长度不合适，易侧漏,负面
衣服质量差，线头多,负面
服务态度差，还不耐烦,负面
价格虚高，名不副实,负面
物流太慢，超过预计时间,负面
产品有质量问题，商家不处理,负面
客服态度恶劣，挂电话快,负面
餐厅味道差，还贵,负面
手机性能差，容易死机,负面
耳机音质差，有杂音,负面
充电宝容量不足，虚标严重,负面
笔记本电脑容易蓝屏，不稳定,负面
洗面奶刺激，用完皮肤发红,负面
运动鞋质量差，开胶,负面
保温杯保温效果差，半天就凉,负面
面包不新鲜，有霉点,负面
巧克力过期，味道变质,负面
果汁不新鲜，有沉淀,负面
手表损坏快，不耐用,负面
雨伞质量差，一用就坏,负面
书包质量差，容易坏,负面
毛巾不卫生，有异味,负面
袜子质量差，易破洞,负面
牛仔裤质量差，洗后变形,负面
护手霜效果差，不保湿,负面
洗衣液去污差，洗不干净,负面
钢笔质量差，容易坏,负面
羽毛球拍质量差，弹性不好,负面
扫地机器人清洁效果差，浪费电,负面
微波炉质量差，容易坏,负面
平板电脑质量差，运行卡顿,负面
电脑显示器质量差，易损坏,负面
篮球质量差，不耐用,负面
酸奶质量差，不新鲜,负面
卫生巾质量差，不舒适,负面
衣服面料差，容易起皱,负面
服务效率低，办事拖沓,负面
价格太贵，不值,负面
物流服务差，包装破损,负面
产品瑕疵多，做工差,负面
客服不专业，解决不了问题,负面
餐厅环境差，服务差,负面
手机信号不好，经常掉线,负面
耳机佩戴不舒服，容易掉,负面
充电宝充电慢，还重,负面
笔记本电脑散热差，容易发烫,负面
洗面奶不好用，清洁力差,负面
运动鞋穿着不舒服，磨脚,负面
保温杯不好用，漏水,负面
面包不好吃，不新鲜,负面
巧克力不好吃，口感差,负面
果汁不好喝，不新鲜,负面
手表不好用，走时不准,负面
雨伞不好用，防雨差,负面
书包不好用，容量小,负面
毛巾不好用，不吸水,负面
袜子不好用，易起球,负面
牛仔裤不好用，版型差,负面
护手霜不好用，不滋润,负面
洗衣液不好用，去污差,负面
钢笔不好用，书写差,负面
羽毛球拍不好用，弹性差,负面
扫地机器人不好用，清洁差,负面
微波炉不好用，加热慢,负面
平板电脑不好用，卡顿,负面
电脑显示器不好用，显示差,负面
篮球不好用，手感差,负面
酸奶不好用，味道差,负面
卫生巾不好用，吸收差,负面
这家店的衣服面料舒适，款式新颖，很喜欢,正面
快递员服务态度特别好，还帮忙送到楼上,正面
这款护肤品吸收很快，用后皮肤很滋润,正面
餐厅的菜分量很足，味道也很正宗,正面
手机续航能力超出预期，非常满意,正面
客服很有耐心，一步步教我操作,正面
这个玩具质量很好，孩子玩了很久都没坏,正面
酒店房间很干净，设施齐全，性价比高,正面
外卖包装很精致，食物还是热的,正面
这本书内容很精彩，印刷质量也不错,正面
这款洗发水去油效果很好，香味也清新,正面
健身房环境干净，器材维护得很好,正面
咖啡店的咖啡很正宗，服务也很周到,正面
这款游戏画面精美，操作也很流畅,正面
租房的中介很靠谱，房源和描述一致,正面
花店的花很新鲜，包装也很漂亮,正面
这款酱油味道很鲜，炒菜特别香,正面
游乐园的工作人员很热情，设施也安全,正面
这款打印机打印速度很快，效果也清晰,正面
书店的书籍分类很清晰，找书很方便,正面
这款电池续航时间很长，很耐用,正面
理发店的托尼老师技术很好，很懂我,正面
这款豆瓣酱味道很正宗，做川菜必备,正面
KTV的音响效果很好，歌曲库也全,正面
这款路由器信号很强，覆盖范围广,正面
宠物店的服务很贴心，宠物护理得很好,正面
这款醋酸度适中，味道很纯正,正面
滑雪场的雪质很好，设备也很齐全,正面
这款扫描仪扫描效果很清晰，速度也快,正面
茶馆的茶叶品质很好，环境也很雅致,正面
这款鼠标手感很好，反应也很灵敏,正面
美甲店的技术很好，款式也很新颖,正面
这款料酒味道很纯正，去腥效果好,正面
植物园的植物种类很多，讲解也详细,正面
这款键盘打字很舒服，噪音也小,正面
干洗店的服务很好，衣服洗得很干净,正面
这款蚝油味道很鲜，用量很省,正面
动物园的动物状态很好，环境也整洁,正面
这款U盘传输速度很快，质量也不错,正面
美容院的服务很专业，效果也很明显,正面
这款鸡精味道很鲜，提味效果好,正面
博物馆的展览很丰富，讲解很专业,正面
这款移动硬盘容量大，传输速度快,正面
健身房的教练很专业，指导很到位,正面
这款番茄酱味道很正宗，酸甜适中,正面
科技馆的互动性很强，很适合孩子,正面
这款摄像头画质很清晰，夜视效果也好,正面
瑜伽馆的环境很安静，老师很专业,正面
这款蜂蜜很纯正，味道很甜,正面
图书馆的环境很安静，藏书也丰富,正面
这款智能音箱反应很灵敏，音质也不错,正面
舞蹈室的镜子很大，地板也很舒服,正面
这款白糖颗粒均匀，纯度很高,正面
美术馆的展览很有格调，讲解很到位,正面
这款耳机音质很清晰，降噪效果也好,正面
画室的环境很舒适，材料也很齐全,正面
这款食盐纯度高，味道很正,正面
科技馆的设施很先进，体验感很好,正面
这款手机壳质量很好，颜值也高,正面
健身房的更衣室很干净，设施齐全,正面
这款酱油性价比很高，味道也好,正面
游乐园的门票性价比高，项目也多,正面
这款充电器充电速度很快，兼容性也好,正面
理发店的环境很干净，服务很贴心,正面
这款洗发水性价比很高，去屑效果好,正面
餐厅的服务很热情，上菜速度也快,正面
这款充电宝体积小，容量却很大,正面
客服的响应速度很快，解决问题也高效,正面
这款衣服性价比很高，质量也好,正面
快递的配送速度很快，包装也完好,正面
这款护肤品性价比很高，效果也好,正面
酒店的服务很周到，早餐也很丰富,正面
这款玩具性价比很高，孩子很喜欢,正面
外卖的味道很好，分量也很足,正面
这本书性价比很高，内容也精彩,正面
这款耳机性价比很高，音质也好,正面
健身房的年卡性价比很高，设施也好,正面
咖啡店的咖啡性价比很高，味道也好,正面
这款游戏性价比很高，很好玩,正面
租房的性价比很高，环境也好,正面
花店的花性价比很高，很新鲜,正面
这款酱油性价比很高，很提味,正面
游乐园的性价比很高，很值得去,正面
这款打印机性价比很高，很好用,正面
书店的书籍性价比很高，种类也多,正面
这款电池性价比很高，很耐用,正面
理发店的性价比很高，技术也好,正面
这款豆瓣酱性价比很高，味道正宗,正面
KTV的性价比很高，音响也好,正面
这款路由器性价比很高，信号也好,正面
宠物店的性价比很高，服务也好,正面
这款醋性价比很高，味道纯正,正面
滑雪场的性价比很高，雪质也好,正面
这款扫描仪性价比很高，扫描效果好,正面
茶馆的性价比很高，茶叶也好,正面
这款鼠标性价比很高，手感也好,正面
美甲店的性价比很高，技术也好,正面
这款料酒性价比很高，去腥效果好,正面
植物园的性价比很高，植物也多,正面
这款键盘性价比很高，打字舒服,正面
干洗店的性价比很高，洗得干净,正面
这款蚝油性价比很高，味道很鲜,正面
动物园的性价比很高，动物也多,正面
这款U盘性价比很高，传输快,正面
美容院的性价比很高，效果也好,正面
这款鸡精性价比很高，提味效果好,正面
博物馆的性价比很高，展览丰富,正面
这款移动硬盘性价比很高，容量大,正面
健身房的教练性价比很高，专业到位,正面
这款番茄酱性价比很高，味道正宗,正面
科技馆的性价比很高，互动性强,正面
这款摄像头性价比很高，画质清晰,正面
瑜伽馆的性价比很高，环境也好,正面
这款蜂蜜性价比很高，很纯正,正面
图书馆的性价比很高，藏书丰富,正面
这款智能音箱性价比很高，音质好,正面
舞蹈室的性价比很高，老师专业,正面
这款白糖性价比很高，纯度高,正面
美术馆的性价比很高，展览有格调,正面
这款耳机性价比很高，降噪效果好,正面
画室的性价比很高，环境舒适,正面
这款食盐性价比很高，纯度高,正面
科技馆的性价比很高，设施先进,正面
这款手机壳性价比很高，质量好,正面
健身房的更衣室性价比很高，干净整洁,正面
这家店的衣服质量太差了，线头到处都是,负面
快递员态度特别差，扔在楼下就走了,负面
这款护肤品用了之后皮肤过敏，太差了,负面
餐厅的菜味道很难吃，还不新鲜,负面
手机用了没几天就卡顿，太失望了,负面
客服态度特别差，问问题还不耐烦,负面
这个玩具质量太差了，玩一次就坏了,负面
酒店房间又小又脏，设施还不全,负面
外卖包装很差，食物都洒出来了,负面
这本书印刷质量太差了，字迹模糊,负面
这款洗发水用了之后头更油了，很难用,负面
健身房环境很脏，器材也没人维护,负面
咖啡店的咖啡很难喝，服务也很差,负面
这款游戏画面很粗糙，还经常闪退,负面
租房的中介很不靠谱，房源和描述不符,负面
花店的花很不新鲜，没两天就蔫了,负面
这款酱油味道很淡，一点都不鲜,负面
游乐园的工作人员很冷漠，设施也不安全,负面
这款打印机打印速度很慢，效果也模糊,负面
书店的书籍分类很乱，找书很麻烦,负面
这款电池续航时间很短，很不耐用,负面
理发店的托尼老师技术很差，剪得很难看,负面
这款豆瓣酱味道很奇怪，一点都不正宗,负面
KTV的音响效果很差，歌曲库也不全,负面
这款路由器信号很弱，覆盖范围小,负面
宠物店的服务很敷衍，宠物护理得很差,负面
这款醋酸度太高，味道很刺鼻,负面
滑雪场的雪质很差，设备也很陈旧,负面
这款扫描仪扫描效果很模糊，速度也慢,负面
茶馆的茶叶品质很差，环境也很嘈杂,负面
这款鼠标手感很差，反应也很迟钝,负面
美甲店的技术很差，款式也很老气,负面
这款料酒味道很刺鼻，去腥效果差,负面
植物园的植物种类很少，讲解也不详细,负面
这款键盘打字很不舒服，噪音也大,负面
干洗店的服务很差，衣服洗得不干净,负面
这款蚝油味道很淡，用量还很大,负面
动物园的动物状态很差，环境也脏乱,负面
这款U盘传输速度很慢，质量也很差,负面
美容院的服务很不专业，效果也不明显,负面
这款鸡精味道很淡，提味效果差,负面
博物馆的展览很单调，讲解也不专业,负面
这款移动硬盘容量小，传输速度慢,负面
健身房的教练很不专业，指导不到位,负面
这款番茄酱味道很奇怪，一点都不正宗,负面
科技馆的互动性很差，不适合孩子,负面
这款摄像头画质很模糊，夜视效果也差,负面
瑜伽馆的环境很嘈杂，老师也不专业,负面
这款蜂蜜很假，味道很奇怪,负面
图书馆的环境很嘈杂，藏书也很少,负面
这款智能音箱反应很迟钝，音质也差,负面
舞蹈室的镜子很小，地板也很滑,负面
这款白糖颗粒不均匀，纯度很低,负面
美术馆的展览很没格调，讲解也不到位,负面
这款耳机音质很模糊，降噪效果也差,负面
画室的环境很脏乱，材料也很劣质,负面
这款食盐纯度低，味道很怪,负面
科技馆的设施很陈旧，体验感很差,负面
这款手机壳质量很差，很容易碎,负面
健身房的更衣室很脏，设施也不全,负面
这款酱油性价比很低，味道也差,负面
游乐园的门票很贵，项目却很少,负面
这款充电器充电速度很慢，兼容性也差,负面
理发店的价格很贵，技术却很差,负面
这款洗发水价格很贵，去屑效果差,负面
餐厅的价格很贵，味道却很难吃,负面
这款充电宝价格很贵，容量却很小,负面
客服的态度很差，解决问题也低效,负面
这款衣服价格很贵，质量却很差,负面
快递的配送速度很慢，包装也破损,负面
这款护肤品价格很贵，效果却很差,负面
酒店的价格很贵，服务却很差,负面
这款玩具价格很贵，孩子却不喜欢,负面
外卖的价格很贵，分量却很少,负面
这本书价格很贵，内容却很一般,负面
这款耳机价格很贵，音质却很差,负面
健身房的年卡很贵，设施却很差,负面
咖啡店的咖啡很贵，味道却很难喝,负面
这款游戏价格很贵，却不好玩,负面
租房的价格很贵，环境却很差,负面
花店的花很贵，却很不新鲜,负面
这款酱油价格很贵，却很提味,负面
游乐园的价格很贵，却很不值得去,负面
这款打印机价格很贵，却很好用,负面
书店的书籍价格很贵，种类却很少,负面
这款电池价格很贵，却很不耐用,负面
理发店的价格很贵，技术却很差,负面
这款豆瓣酱价格很贵，味道却不正宗,负面
KTV的价格很贵，音响却很差,负面
这款路由器价格很贵，信号却很差,负面
宠物店的价格很贵，服务却很差,负面
这款醋价格很贵，味道却不纯正,负面
滑雪场的价格很贵，雪质却很差,负面
这款扫描仪价格很贵，扫描效果却差,负面
茶馆的价格很贵，茶叶却很差,负面
这款鼠标价格很贵，手感却很差,负面
美甲店的价格很贵，技术却很差,负面
这款料酒价格很贵，去腥效果却差,负面
植物园的价格很贵，植物却很少,负面
这款键盘价格很贵，打字却不舒服,负面
干洗店的价格很贵，洗得却不干净,负面
这款蚝油价格很贵，味道却很淡,负面
动物园的价格很贵，动物却很少,负面
这款U盘价格很贵，传输却很慢,负面
美容院的价格很贵，效果却很差,负面
这款鸡精价格很贵，提味效果却差,负面
博物馆的价格很贵，展览却很单调,负面
这款移动硬盘价格很贵，容量却很小,负面
健身房的教练价格很贵，
